GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS,season,season_type
2019-11-27,LAL @ NOP,W,38,29,5,11,2,1,5,10,18,0.556,2,6,0.333,7,11,0.636,3,2019-20,Regular Season
2019-11-29,LAL vs. WAS,W,25,23,3,11,2,1,6,9,16,0.563,4,8,0.5,1,2,0.5,20,2019-20,Regular Season
2019-12-01,LAL vs. DAL,L,36,25,9,8,4,0,6,11,20,0.55,0,5,0.0,3,3,1.0,-16,2019-20,Regular Season
2019-12-03,LAL @ DEN,W,37,25,6,9,0,0,4,9,18,0.5,1,4,0.25,6,6,1.0,4,2019-20,Regular Season
2019-12-04,LAL @ UTA,W,29,20,4,12,1,0,1,9,21,0.429,1,6,0.167,1,1,1.0,14,2019-20,Regular Season
2019-12-06,LAL @ POR,W,34,31,7,8,0,1,3,11,23,0.478,4,9,0.444,5,7,0.714,21,2019-20,Regular Season
2019-12-08,LAL vs. MIN,W,28,32,4,13,1,0,5,12,20,0.6,6,8,0.75,2,2,1.0,24,2019-20,Regular Season
2019-12-11,LAL @ ORL,W,38,25,11,10,2,0,6,11,24,0.458,1,6,0.167,2,5,0.4,8,2019-20,Regular Season
2019-12-13,LAL @ MIA,W,37,28,9,12,1,0,8,11,22,0.5,4,8,0.5,2,4,0.5,9,2019-20,Regular Season
2019-12-15,LAL @ ATL,W,37,32,13,7,1,3,4,12,21,0.571,4,10,0.4,4,7,0.571,10,2019-20,Regular Season
2019-12-17,LAL @ IND,L,35,20,9,9,0,0,5,8,20,0.4,0,6,0.0,4,8,0.5,-9,2019-20,Regular Season
2019-12-19,LAL @ MIL,L,37,21,12,11,0,0,4,8,19,0.421,3,7,0.429,2,2,1.0,-14,2019-20,Regular Season
2019-12-25,LAL vs. LAC,L,39,23,9,10,2,1,2,9,24,0.375,2,12,0.167,3,4,0.75,3,2019-20,Regular Season
2019-12-28,LAL @ POR,W,37,21,7,16,2,1,1,7,15,0.467,1,4,0.25,6,8,0.75,5,2019-20,Regular Season
2019-12-29,LAL vs. DAL,W,34,13,6,13,2,0,2,3,10,0.3,2,4,0.5,5,6,0.833,5,2019-20,Regular Season
2020-01-01,LAL vs. PHX,W,38,31,13,12,2,1,5,11,21,0.524,1,4,0.25,8,12,0.667,18,2019-20,Regular Season
2020-01-03,LAL vs. NOP,W,37,17,8,15,2,0,2,7,17,0.412,1,3,0.333,2,5,0.4,17,2019-20,Regular Season
2020-01-05,LAL vs. DET,W,35,21,14,11,0,0,3,10,21,0.476,0,3,0.0,1,2,0.5,23,2019-20,Regular Season
2020-01-07,LAL vs. NYK,W,31,31,5,5,2,1,4,9,19,0.474,6,12,0.5,7,7,1.0,26,2019-20,Regular Season
2020-01-10,LAL @ DAL,W,32,35,16,7,1,0,3,14,25,0.56,3,6,0.5,4,5,0.8,13,2019-20,Regular Season
